Name,Energy (Kcals),Moisture (g),Protein (g),Fat (g),Mineral (g),Carbohydrates (g),Calcium (mg),Phosphorus (mg),Iron (mg),Price per kg,Blood Pressure,Heart Disease,Brain Health,Autoimmune Diseases,Prevent Asthma,Bone Health,Eye,Cancer
air,89,78,16,1,1,3,380,180,1,200,0,0,0,0,0,0,0,0
anchovy,164,69,19,10,2,0,143,174,1,150,1,1,0,0,0,0,0,0
bacha,147,69,18,6,1,6,520,180,1,400,0,0,0,0,0,1,0,0
bam,100,70,16,1,1,7,330,240,1,175,0,0,1,0,0,1,0,0
baspata machli,112,76,18,4,1,0,175,225,0,200,0,0,0,0,0,1,0,0
"bata, small varieties",89,79,14,2,2,2,790,200,0,100,0,0,0,0,0,0,0,0
beley,75,80,14,1,2,3,370,330,1,120,0,0,0,0,1,0,1,0
bhagon fresh,154,69,15,9,2,4,182,190,1,150,0,0,0,1,0,0,0,0
bhagon dried,274,18,52,2,16,2,6235,207,9,100,0,0,0,1,0,0,0,0
bhangan bata,144,64,20,4,2,7,580,310,1,200,1,0,0,0,0,0,0,0
bhekti fresh,79,67,15,1,1,3,480,350,3,250,0,1,1,0,0,0,1,0
bhekti dried,266,20,60,2,16,2,939,347,15,200,0,1,1,0,0,0,1,0
bhola,86,69,15,1,2,4,550,580,0,250,0,0,1,1,0,0,1,0
big jawed jumper,130,65,19,6,1,0,214,306,3,300,0,0,0,0,0,1,0,0
boal,116,70,15,3,1,8,160,490,1,100,0,1,0,1,0,0,0,1
"bombay duck, dried",293,17,62,4,15,2,1389,240,19,50,1,1,0,0,0,0,0,0
blue mussel,72,75,10,2,3,4,1134,286,8,100,1,1,0,0,0,0,0,0
cat fish,86,77,21,3,6,0,10,230,0,150,0,0,0,1,0,0,0,0
chela,103,77,14,4,2,1,590,340,2,200,1,0,0,0,0,1,0,0
chela dried,413,5,45,17,13,0,3590,2342,0,150,1,0,0,0,0,1,0,0
chingri small dried,292,18,62,4,14,2,3539,354,28,300,1,0,0,0,0,0,0,0
"chingri goda, dried",287,15,60,3,17,5,3847,828,49,700,1,0,0,0,0,0,0,0
chital,108,75,19,2,1,3,180,250,3,250,0,0,0,1,0,0,0,0
crab,59,83,9,1,3,3,1370,150,21,450,0,1,0,0,0,0,0,0
crab small,169,65,11,10,5,9,1606,253,1,300,0,1,0,0,0,0,0,0
folui,109,63,19,1,2.5,4,590,450,2,200,0,1,0,0,0,0,0,0
ghol,82,60,18,1,2,1,90,150,2,350,0,0,0,0,0,0,1,0
goggler,93,67,19,1,2,1,437,349,8,250,0,1,0,1,0,0,0,0
"herring, indian",119,63,20,3,1,2,429,305,9,200,1,1,0,1,0,0,0,1
herring ox-eyed,106,64,22,2,1,1,429,131,6,250,0,0,0,0,0,0,1,0
horse mackerel,99,67,21,2,1,0,347,262,2,350,1,1,0,1,0,0,0,0
indian whiting,89,67,19,0,1,2,71,262,2,100,1,1,0,0,0,0,0,0
hilsa,273,54,22,19,2,3,180,280,2,300,1,1,0,0,0,0,0,0
jew fish- kora,83,68,19,1,2,0,286,305,4,150,1,0,0,1,0,1,1,0
jew fish-pallikora,100,67,20,2,2,0,214,262,5,200,1,0,0,1,0,1,1,0
kalabasu,76,71,15,1,1,2,320,380,1,300,0,0,0,0,0,0,0,0
katla,111,64,19,2,1,3,530,235,1,200,1,1,0,1,0,0,1,0
khorsula,117,65,16,5,2,1,410,160,1,175,0,0,0,0,0,0,0,0
khorya fresh,120,62,18,3,2,5,590,220,1,150,0,1,0,0,0,0,0,0
khorya dried,296,17,59,6,16,1,345,251,1,100,0,1,0,0,0,0,0,0
koi,156,60,15,9,2,4,410,390,1,400,0,1,0,0,0,1,0,1
koocha machli,92,67,19,1,1,2,185,119,1,350,0,0,0,1,0,0,0,0
lata,97,64,19,1,3,3,610,530,1,100,0,1,0,0,1,0,1,0
lobster,90,77,20,1,1,0,16,279,1,900,0,0,0,0,0,1,0,0
mackerel,93,65,19,2,2,0,429,305,4,400,1,1,0,1,0,1,0,0
magur,86,68,15,1,1,4,210,290,1,100,0,0,0,0,0,0,0,1
mahasole,126,68,25,2,1,1,130,280,4,350,0,0,0,0,0,0,0,0
mandeli,259,31,52,5,1,1,143,259,12,100,0,1,0,1,0,0,0,0
mrigal,98,65,19,1,1,3,350,280,1,250,1,1,0,1,0,1,0,0
mullet,155,67,19,8,1,2,357,175,4,250,0,0,0,1,0,0,0,0
mushi,312,10,67,5,1,1,541,507,3,350,0,1,0,1,0,0,0,0
mussel,81,70,14,2,2,2,592,406,1,150,1,1,0,0,0,0,0,0
mutijella,288,19,64,2,12,3,7240,834,1,200,1,0,0,0,1,0,0,0
oil sardine,97,76,20,2,2,0,357,349,6,75,0,1,0,0,0,0,0,0
pabda,114,61,19,2,1,5,310,210,1,150,0,0,0,1,0,0,0,0
pangas,161,72,14,11,1,1,180,130,0,200,0,0,0,1,0,0,0,0
parsey fresh,140,61,17,6,1,4,850,490,3,250,0,0,0,0,0,0,0,0
parsey dried,312,12,65,4,16,3,2231,396,17,200,0,0,0,0,0,0,0,0
"pomfrets, black",111,64,20,3,1,1,286,306,2,350,0,0,1,1,0,1,1,0
"pomfrets, white",87,68,17,1,1,2,200,290,1,500,0,0,1,1,0,1,1,0
prawn,89,67,19,1,2,1,323,278,5,600,1,0,0,0,0,0,0,0
puti,106,65,18,2,1,3,110,96,1,250,0,0,0,1,0,0,0,0
ravas,112,61,22,1,2,3,405,335,2,100,1,0,0,0,0,1,1,0
ray,97,65,21,0,1,2,214,262,5,125,0,0,0,1,0,0,1,0
ribbon fish fresh,104,67,18,3,1,1,214,218,14,200,1,0,1,1,0,0,1,0
"ribbon fish, dried",383,7,76,9,1,1,739,700,4,150,1,0,1,1,0,0,1,0
rohu,97,67,17,1,1,4,650,175,1,300,0,1,0,0,0,0,0,0
sardine,101,68,21,2,2,1,90,360,2,175,0,0,0,1,0,0,0,0
sarputi,161,60,16,9,1,2,220,120,0,100,0,0,1,0,1,0,0,0
shark,93,66,22,0,1,1,357,262,1,250,0,0,0,0,0,0,0,1
shrimp(smalldried),349,6,68,8,17,1,4384,1160,1,300,0,0,0,1,0,0,0,0
seer,126,63,22,4,1,1,71,572,5,600,0,1,1,0,0,0,0,0
silver belly,91,66,19,2,3,0,715,741,2,150,1,0,0,0,1,0,0,0
singhala,167,61,21,3,1,14,98,152,2,150,0,0,0,1,0,0,0,0
singhi,124,66,23,1,2,7,670,650,2,200,1,0,1,0,0,1,1,0
sole,94,78,16,2,1,2,140,95,0,100,1,0,0,0,0,0,0,0
sole (malabar),120,68,19,5,3,3,1072,524,0,150,1,0,0,0,0,0,0,0
"surmai, fresh",92,63,20,1,2,2,92,161,2,450,0,1,0,1,0,1,0,0
"surmai, dried",210,43,39,6,6,1,148,172,4,400,0,1,0,1,0,1,0,0
tapra,334,13,62,9,15,1,771,552,19,200,0,0,0,0,0,0,0,0
tapsi,343,16,58,12,17,1,1597,595,41,150,0,0,0,0,0,0,0,0
tartoor,79,78,18,0,2,1,1072,218,5,300,0,1,0,0,0,0,1,1
tengra fresh,144,60,19,6,2,2,270,170,2,250,0,0,0,0,1,0,0,0
tengra dried,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
tunny,113,72,24,2,2,1,429,349,7,550,0,1,0,0,0,0,0,0
white bait,81,79,14,1,2,2,643,437,4,75,1,0,0,1,0,0,0,0
barracuda,104,22,22,9,5,2,476,354,6,300,0,0,0,0,1,0,0,0
cobia,87,33,18,1,4,0,357,657,4,450,1,0,0,0,0,0,0,0
tilapia,128,87,26,3,6,0,643,380,4,60,0,1,0,0,0,1,0,0
croaker,79,78,18,0,2,1,1072,218,5,300,0,1,0,0,0,0,1,0
angler,90,77,20,1,1,0,16,279,1,900,0,0,0,0,0,1,0,0
bonito,274,18,52,2,16,2,6235,207,9,100,0,0,0,1,0,0,0,0
albacore,112,61,22,1,2,3,405,335,2,100,1,0,0,0,0,1,1,0
billfish,259,31,52,5,1,1,143,259,12,100,0,1,0,1,0,0,0,0
bandfish,89,67,19,1,2,1,323,278,5,600,1,0,0,0,0,0,0,0
bluefish,108,75,19,2,1,3,180,250,3,250,0,0,0,1,0,0,0,0
candlefish,334,13,62,9,15,1,771,552,19,200,0,0,0,0,0,0,0,0
catla,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
devario,91,66,19,2,3,0,715,741,2,150,1,0,0,0,1,0,0,0
eagle ray,210,43,39,6,6,1,148,172,4,400,0,1,0,1,0,1,0,0
escolar,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
finger fish,113,72,24,2,2,1,429,349,7,550,0,1,0,0,0,0,0,0
gar,100,70,16,1,1,7,330,240,1,175,0,0,1,0,0,1,0,0
